,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
10,14.mp4,0,"[[1.         0.99694727 0.93455727 ... 0.96591495 0.97403842 0.97130862]
 [0.99694727 1.         0.93108883 ... 0.97245421 0.98090465 0.97802652]
 [0.93455727 0.93108883 1.         ... 0.91381191 0.91877643 0.91642501]
 ...
 [0.96591495 0.97245421 0.91381191 ... 1.         0.99517092 0.99706324]
 [0.97403842 0.98090465 0.91877643 ... 0.99517092 1.         0.99896986]
 [0.97130862 0.97802652 0.91642501 ... 0.99706324 0.99896986 1.        ]]","[[1.         0.99694727 0.93455727 ... 0.96591495 0.97403842 0.97130862]
 [0.99694727 1.         0.93108883 ... 0.97245421 0.98090465 0.97802652]
 [0.93455727 0.93108883 1.         ... 0.91381191 0.91877643 0.91642501]
 ...
 [0.96591495 0.97245421 0.91381191 ... 1.         0.99517092 0.99706324]
 [0.97403842 0.98090465 0.91877643 ... 0.99517092 1.         0.99896986]
 [0.97130862 0.97802652 0.91642501 ... 0.99706324 0.99896986 1.        ]]","[[154  30 214 ...  75 142 147]
 [154  28 215 ...  78 142 145]
 [150  21 212 ...  62 127 133]
 ...
 [162  34 218 ...  61 130 137]
 [162  34 218 ...  57 127 135]
 [163  34 219 ...  58 126 134]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
11,18.mp4,1,"[[1.         0.98386955 0.98185259 ... 0.         0.         0.        ]
 [0.98386955 1.         0.99739347 ... 0.         0.         0.        ]
 [0.98185259 0.99739347 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.98386955 0.98185259 ... 0.         0.         0.        ]
 [0.98386955 1.         0.99739347 ... 0.         0.         0.        ]
 [0.98185259 0.99739347 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[169  39 223 ... 125 195 190]
 [163  41 220 ... 121 196 191]
 [161  39 222 ... 122 196 190]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
12,19.mp4,0,"[[1.         0.99892409 0.99934858 ... 0.92658538 0.89325717 0.88041767]
 [0.99892409 1.         0.99939739 ... 0.92568428 0.89185778 0.87797093]
 [0.99934858 0.99939739 1.         ... 0.92755848 0.89309781 0.87986977]
 ...
 [0.92658538 0.92568428 0.92755848 ... 1.         0.93543756 0.94516376]
 [0.89325717 0.89185778 0.89309781 ... 0.93543756 1.         0.94443508]
 [0.88041767 0.87797093 0.87986977 ... 0.94516376 0.94443508 1.        ]]","[[1.         0.99892409 0.99934858 ... 0.92658538 0.89325717 0.88041767]
 [0.99892409 1.         0.99939739 ... 0.92568428 0.89185778 0.87797093]
 [0.99934858 0.99939739 1.         ... 0.92755848 0.89309781 0.87986977]
 ...
 [0.92658538 0.92568428 0.92755848 ... 1.         0.93543756 0.94516376]
 [0.89325717 0.89185778 0.89309781 ... 0.93543756 1.         0.94443508]
 [0.88041767 0.87797093 0.87986977 ... 0.94516376 0.94443508 1.        ]]","[[174 239 232 ... 231  19   5]
 [172 239 232 ... 232  19   4]
 [173 240 233 ... 232  20   5]
 ...
 [130 218 176 ... 233  29  29]
 [194 232 215 ... 228 247 250]
 [108 194 140 ...   7  54  55]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
13,20.mp4,1,"[[1.         0.95060499 0.97345189 ... 0.         0.         0.        ]
 [0.95060499 1.         0.97283456 ... 0.         0.         0.        ]
 [0.97345189 0.97283456 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.95060499 0.97345189 ... 0.         0.         0.        ]
 [0.95060499 1.         0.97283456 ... 0.         0.         0.        ]
 [0.97345189 0.97283456 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[138 238 195 ...  92 131 130]
 [135 241 187 ...  95 169 164]
 [135 249 189 ...  97 154 152]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
14,22.mp4,1,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
15,24.mp4,1,"[[1.         0.9759701  0.97403963 ... 0.         0.         0.        ]
 [0.9759701  1.         0.99734256 ... 0.         0.         0.        ]
 [0.97403963 0.99734256 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9759701  0.97403963 ... 0.         0.         0.        ]
 [0.9759701  1.         0.99734256 ... 0.         0.         0.        ]
 [0.97403963 0.99734256 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[158 196 180 ... 175 196 190]
 [160 198 181 ... 175 197 192]
 [161 199 183 ... 175 199 193]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
16,25.mp4,0,"[[1.         0.9662741  0.96668962 ... 0.         0.         0.        ]
 [0.9662741  1.         0.99494029 ... 0.         0.         0.        ]
 [0.96668962 0.99494029 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9662741  0.96668962 ... 0.         0.         0.        ]
 [0.9662741  1.         0.99494029 ... 0.         0.         0.        ]
 [0.96668962 0.99494029 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[210 109  39 ...  79 223 208]
 [112  55 214 ...  84 193 197]
 [120  47 197 ...  81 177 185]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
17,26.mp4,0,"[[1.         0.99088291 0.99413117 ... 0.96515155 0.96449344 0.96530178]
 [0.99088291 1.         0.99895935 ... 0.96528704 0.9632042  0.9636271 ]
 [0.99413117 0.99895935 1.         ... 0.96592851 0.96427177 0.96480634]
 ...
 [0.96515155 0.96528704 0.96592851 ... 1.         0.99859414 0.99820301]
 [0.96449344 0.9632042  0.96427177 ... 0.99859414 1.         0.99901224]
 [0.96530178 0.9636271  0.96480634 ... 0.99820301 0.99901224 1.        ]]","[[1.         0.99088291 0.99413117 ... 0.96515155 0.96449344 0.96530178]
 [0.99088291 1.         0.99895935 ... 0.96528704 0.9632042  0.9636271 ]
 [0.99413117 0.99895935 1.         ... 0.96592851 0.96427177 0.96480634]
 ...
 [0.96515155 0.96528704 0.96592851 ... 1.         0.99859414 0.99820301]
 [0.96449344 0.9632042  0.96427177 ... 0.99859414 1.         0.99901224]
 [0.96530178 0.9636271  0.96480634 ... 0.99820301 0.99901224 1.        ]]","[[126 245 183 ...  25  86  82]
 [126 245 181 ...  26  89  85]
 [126 245 181 ...  26  88  84]
 ...
 [116 238 170 ...  51 111 112]
 [116 238 170 ...  51 110 110]
 [117 238 172 ...  50 109 108]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
18,28.mp4,0,"[[1.         0.98578849 0.98578993 ... 0.97350097 0.97763177 0.97443545]
 [0.98578849 1.         0.99999953 ... 0.96414561 0.96687842 0.96500878]
 [0.98578993 0.99999953 1.         ... 0.96414968 0.96688036 0.96501169]
 ...
 [0.97350097 0.96414561 0.96414968 ... 1.         0.99120594 0.99780437]
 [0.97763177 0.96687842 0.96688036 ... 0.99120594 1.         0.99191197]
 [0.97443545 0.96500878 0.96501169 ... 0.99780437 0.99191197 1.        ]]","[[1.         0.98578849 0.98578993 ... 0.97350097 0.97763177 0.97443545]
 [0.98578849 1.         0.99999953 ... 0.96414561 0.96687842 0.96500878]
 [0.98578993 0.99999953 1.         ... 0.96414968 0.96688036 0.96501169]
 ...
 [0.97350097 0.96414561 0.96414968 ... 1.         0.99120594 0.99780437]
 [0.97763177 0.96687842 0.96688036 ... 0.99120594 1.         0.99191197]
 [0.97443545 0.96500878 0.96501169 ... 0.99780437 0.99191197 1.        ]]","[[143 212 170 ...  61  94  90]
 [142 212 171 ...  60  93  89]
 [142 212 171 ...  60  93  89]
 ...
 [135 206 160 ...  51  87  87]
 [136 205 160 ...  50  89  88]
 [135 205 159 ...  51  88  88]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
19,29.mp4,0,"[[1.         0.99508314 0.99124788 ... 0.         0.         0.        ]
 [0.99508314 1.         0.98168708 ... 0.         0.         0.        ]
 [0.99124788 0.98168708 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99508314 0.99124788 ... 0.         0.         0.        ]
 [0.99508314 1.         0.98168708 ... 0.         0.         0.        ]
 [0.99124788 0.98168708 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[214  13 239 ... 188 227 229]
 [213  12 237 ... 189 228 231]
 [217  14 241 ... 191 228 231]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20,30.mp4,0,"[[1.         0.99565495 0.99565132 ... 0.97083506 0.96683416 0.97240862]
 [0.99565495 1.         0.99999906 ... 0.96977557 0.96560157 0.97175355]
 [0.99565132 0.99999906 1.         ... 0.96977343 0.96559889 0.97175064]
 ...
 [0.97083506 0.96977557 0.96977343 ... 1.         0.99377624 0.99871283]
 [0.96683416 0.96560157 0.96559889 ... 0.99377624 1.         0.99101589]
 [0.97240862 0.97175355 0.97175064 ... 0.99871283 0.99101589 1.        ]]","[[1.         0.99565495 0.99565132 ... 0.97083506 0.96683416 0.97240862]
 [0.99565495 1.         0.99999906 ... 0.96977557 0.96560157 0.97175355]
 [0.99565132 0.99999906 1.         ... 0.96977343 0.96559889 0.97175064]
 ...
 [0.97083506 0.96977557 0.96977343 ... 1.         0.99377624 0.99871283]
 [0.96683416 0.96560157 0.96559889 ... 0.99377624 1.         0.99101589]
 [0.97240862 0.97175355 0.97175064 ... 0.99871283 0.99101589 1.        ]]","[[140 210 175 ...  52  83  88]
 [139 208 173 ...  51  80  85]
 [139 208 173 ...  51  80  85]
 ...
 [145 210 184 ...  58  91  92]
 [144 210 184 ...  59  92  93]
 [145 210 184 ...  59  91  91]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
