,Unnamed: 0,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
10,10,1079.mp4,0,"[[1.         0.99899864 0.99798064 ... 0.         0.         0.        ]
 [0.99899864 1.         0.99961405 ... 0.         0.         0.        ]
 [0.99798064 0.99961405 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99899864 0.99798064 ... 0.         0.         0.        ]
 [0.99899864 1.         0.99961405 ... 0.         0.         0.        ]
 [0.99798064 0.99961405 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[116 216 162 ...   3  50  47]
 [116 215 162 ...   2  48  45]
 [116 215 162 ...   2  48  45]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
11,11,1092.mp4,0,"[[1.         0.99186182 0.99381376 ... 0.98811735 0.98756999 0.98699909]
 [0.99186182 1.         0.99755663 ... 0.99031735 0.98706072 0.98689448]
 [0.99381376 0.99755663 1.         ... 0.98834851 0.98562735 0.98541728]
 ...
 [0.98811735 0.99031735 0.98834851 ... 1.         0.99306722 0.99253975]
 [0.98756999 0.98706072 0.98562735 ... 0.99306722 1.         0.99917557]
 [0.98699909 0.98689448 0.98541728 ... 0.99253975 0.99917557 1.        ]]","[[1.         0.99186182 0.99381376 ... 0.98811735 0.98756999 0.98699909]
 [0.99186182 1.         0.99755663 ... 0.99031735 0.98706072 0.98689448]
 [0.99381376 0.99755663 1.         ... 0.98834851 0.98562735 0.98541728]
 ...
 [0.98811735 0.99031735 0.98834851 ... 1.         0.99306722 0.99253975]
 [0.98756999 0.98706072 0.98562735 ... 0.99306722 1.         0.99917557]
 [0.98699909 0.98689448 0.98541728 ... 0.99253975 0.99917557 1.        ]]","[[160 233 198 ... 216 244 244]
 [160 232 199 ... 214 244 243]
 [160 232 199 ... 216 245 244]
 ...
 [157 230 191 ... 210 238 239]
 [159 230 191 ... 205 234 235]
 [159 230 191 ... 205 234 235]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
12,12,1102.mp4,0,"[[1.         0.97491818 0.99207121 ... 0.97069013 0.97497953 0.97006764]
 [0.97491818 1.         0.97597712 ... 0.97782979 0.98517345 0.98807803]
 [0.99207121 0.97597712 1.         ... 0.96712467 0.97357737 0.97443693]
 ...
 [0.97069013 0.97782979 0.96712467 ... 1.         0.99233627 0.98555354]
 [0.97497953 0.98517345 0.97357737 ... 0.99233627 1.         0.99433475]
 [0.97006764 0.98807803 0.97443693 ... 0.98555354 0.99433475 1.        ]]","[[1.         0.97491818 0.99207121 ... 0.97069013 0.97497953 0.97006764]
 [0.97491818 1.         0.97597712 ... 0.97782979 0.98517345 0.98807803]
 [0.99207121 0.97597712 1.         ... 0.96712467 0.97357737 0.97443693]
 ...
 [0.97069013 0.97782979 0.96712467 ... 1.         0.99233627 0.98555354]
 [0.97497953 0.98517345 0.97357737 ... 0.99233627 1.         0.99433475]
 [0.97006764 0.98807803 0.97443693 ... 0.98555354 0.99433475 1.        ]]","[[139 209 171 ...  55  90  88]
 [139 211 175 ...  50  77  78]
 [141 210 172 ...  55  90  88]
 ...
 [137 206 175 ...  32  70  70]
 [138 207 172 ...  32  67  69]
 [137 206 167 ...  35  70  71]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
13,13,1116.mp4,0,"[[1.         0.97165513 0.99858039 ... 0.         0.         0.        ]
 [0.97165513 1.         0.96876467 ... 0.         0.         0.        ]
 [0.99858039 0.96876467 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.97165513 0.99858039 ... 0.         0.         0.        ]
 [0.97165513 1.         0.96876467 ... 0.         0.         0.        ]
 [0.99858039 0.96876467 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[172  51 234 ... 123 242 230]
 [146  44 225 ... 115 194 199]
 [172  50 233 ... 122 246 232]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
14,14,1122.mp4,0,"[[1.         0.99246305 0.98911385 ... 0.         0.         0.        ]
 [0.99246305 1.         0.99817585 ... 0.         0.         0.        ]
 [0.98911385 0.99817585 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99246305 0.98911385 ... 0.         0.         0.        ]
 [0.99246305 1.         0.99817585 ... 0.         0.         0.        ]
 [0.98911385 0.99817585 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[107 230 168 ...  14  62  71]
 [106 227 163 ...  16  63  74]
 [106 228 164 ...  17  64  74]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
15,15,1132.mp4,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[1.         0.99999565 0.99527794 ... 0.         0.         0.        ]
 [0.99999565 1.         0.99527698 ... 0.         0.         0.        ]
 [0.99527794 0.99527698 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [110 145 129 ... 107 121 126]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
16,16,1133.mp4,0,"[[1.         0.99915154 0.99680158 ... 0.         0.         0.        ]
 [0.99915154 1.         0.99791789 ... 0.         0.         0.        ]
 [0.99680158 0.99791789 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99915154 0.99680158 ... 0.         0.         0.        ]
 [0.99915154 1.         0.99791789 ... 0.         0.         0.        ]
 [0.99680158 0.99791789 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 21 108  81 ...  35  90  86]
 [ 20 107  78 ...  34  89  86]
 [ 22 107  79 ...  32  87  85]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
17,17,1141.mp4,0,"[[1.         0.99843663 0.99844113 ... 0.99354244 0.99426885 0.99367406]
 [0.99843663 1.         0.999999   ... 0.99145847 0.99268496 0.99161588]
 [0.99844113 0.999999   1.         ... 0.99147283 0.99269515 0.99163069]
 ...
 [0.99354244 0.99145847 0.99147283 ... 1.         0.99945469 0.99996013]
 [0.99426885 0.99268496 0.99269515 ... 0.99945469 1.         0.99948861]
 [0.99367406 0.99161588 0.99163069 ... 0.99996013 0.99948861 1.        ]]","[[1.         0.99843663 0.99844113 ... 0.99354244 0.99426885 0.99367406]
 [0.99843663 1.         0.999999   ... 0.99145847 0.99268496 0.99161588]
 [0.99844113 0.999999   1.         ... 0.99147283 0.99269515 0.99163069]
 ...
 [0.99354244 0.99145847 0.99147283 ... 1.         0.99945469 0.99996013]
 [0.99426885 0.99268496 0.99269515 ... 0.99945469 1.         0.99948861]
 [0.99367406 0.99161588 0.99163069 ... 0.99996013 0.99948861 1.        ]]","[[169 239 196 ...   6  44  45]
 [170 239 196 ...   5  44  45]
 [170 239 196 ...   5  44  45]
 ...
 [165 239 195 ... 248  33  34]
 [165 239 195 ... 248  33  34]
 [165 239 194 ... 248  33  34]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
18,18,1151.mp4,0,"[[1.         0.99891225 0.93695635 ... 0.         0.         0.        ]
 [0.99891225 1.         0.93533829 ... 0.         0.         0.        ]
 [0.93695635 0.93533829 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99891225 0.93695635 ... 0.         0.         0.        ]
 [0.99891225 1.         0.93533829 ... 0.         0.         0.        ]
 [0.93695635 0.93533829 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[163 226 205 ...  93 130 133]
 [162 226 205 ...  94 132 134]
 [171 229 214 ...  92 122 121]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
19,19,1155.mp4,0,"[[1.         0.99595041 0.99834969 ... 0.         0.         0.        ]
 [0.99595041 1.         0.9953782  ... 0.         0.         0.        ]
 [0.99834969 0.9953782  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99595041 0.99834969 ... 0.         0.         0.        ]
 [0.99595041 1.         0.9953782  ... 0.         0.         0.        ]
 [0.99834969 0.9953782  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[143 254 181 ... 184 238 232]
 [130 244 169 ... 176 236 228]
 [134 249 174 ... 180 240 232]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20,20,1156.mp4,0,"[[1.         0.99434253 0.99445619 ... 0.         0.         0.        ]
 [0.99434253 1.         0.9997688  ... 0.         0.         0.        ]
 [0.99445619 0.9997688  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99434253 0.99445619 ... 0.         0.         0.        ]
 [0.99434253 1.         0.9997688  ... 0.         0.         0.        ]
 [0.99445619 0.9997688  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[151 211 186 ... 148 192 190]
 [152 212 187 ... 149 194 192]
 [150 210 185 ... 149 194 192]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
21,21,1159.mp4,0,"[[1.         0.99591739 0.99917579 ... 0.         0.         0.        ]
 [0.99591739 1.         0.99491048 ... 0.         0.         0.        ]
 [0.99917579 0.99491048 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99591739 0.99917579 ... 0.         0.         0.        ]
 [0.99591739 1.         0.99491048 ... 0.         0.         0.        ]
 [0.99917579 0.99491048 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[209  35 248 ... 178 232 226]
 [212  39 253 ... 183 231 225]
 [215  41   0 ... 176 227 222]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
